City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,gao,16.6362,1.637,28.39,12,100,9.05,ML,1676470460
221,trairi,-3.2778,-39.2689,28.52,72,100,4.71,BR,1676470286
222,shingu,33.7333,135.9833,0.22,72,2,3.47,JP,1676470461
223,nador,35.174,-2.9287,20.04,63,20,4.12,MA,1676470464
224,qasigiannguit,68.8193,-51.1922,-21.86,71,100,1.38,GL,1676470465
225,orlovskiy,46.8714,42.0592,-4.11,90,97,4.76,RU,1676470466
226,cabo san lucas,22.8909,-109.9124,15.84,70,0,4.63,MX,1676470333
227,quatre cocos,-20.2078,57.7625,28.06,62,0,3.78,MU,1676470468
228,sumbe,-11.2061,13.8437,28.08,67,40,5.08,AO,1676470469
229,ankang,32.68,109.0172,7.06,70,58,1.19,CN,1676470470
230,porto velho,-8.7619,-63.9039,29.03,70,20,2.57,BR,1676470471
231,moindou,-21.6924,165.677,23.79,79,99,2.82,NC,1676470473
232,chanute,37.6792,-95.4572,0.81,93,0,0.0,US,1676470268
233,tura,25.5198,90.2201,16.56,37,0,1.38,IN,1676470475
234,morondava,-20.2833,44.2833,28.91,68,11,4.56,MG,1676470476
235,saint-philippe,-21.3585,55.7679,27.77,75,39,4.08,RE,1676470476
236,santiago del estero,-27.7951,-64.2615,28.92,61,62,1.97,AR,1676470477
237,east london,-33.0153,27.9116,25.52,94,75,3.6,ZA,1676470479
238,aktash,50.3,87.7333,-22.41,84,99,1.86,RU,1676470480
239,leku,6.8667,38.45,27.77,17,100,2.24,ET,1676470481
240,xai-xai,-25.0519,33.6442,29.51,68,30,5.14,MZ,1676470482
241,touros,-5.1989,-35.4608,29.97,64,75,6.38,BR,1676470485
242,constitucion,-35.3333,-72.4167,20.14,58,1,6.13,CL,1676470486
243,malinovskiy,61.1953,62.8397,-14.95,100,76,1.44,RU,1676470487
244,mercedes,-34.6515,-59.4307,27.19,26,0,1.24,AR,1676470488
245,wangou,42.0623,126.9127,-15.15,87,100,0.77,CN,1676470489
246,kjollefjord,70.9457,27.3465,5.03,81,75,5.66,NO,1676470490
247,luanda,-8.8368,13.2343,29.0,68,75,5.14,AO,1676470422
248,coahuayana,18.7333,-103.6833,19.28,38,3,1.83,MX,1676470492
249,nizhniy kuranakh,58.8353,125.4869,-20.54,99,100,1.5,RU,1676470493
250,umm lajj,25.0213,37.2685,19.56,45,32,6.92,SA,1676470493
251,yurla,59.3259,54.3223,-12.93,98,31,1.4,RU,1676470494
252,camana,-16.6228,-72.7111,24.83,82,96,1.81,PE,1676470495
253,husavik,66.0449,-17.3389,-0.76,70,100,6.48,IS,1676470496
254,loa janan,-0.583,117.095,22.99,98,97,0.84,ID,1676470497
255,peace river,56.2501,-117.286,-11.83,72,100,3.6,CA,1676470498
256,slonim,53.0867,25.3219,3.96,57,20,1.74,BY,1676470499
257,channel-port aux basques,47.5702,-59.1367,-3.25,68,5,5.39,CA,1676470500
258,wangkui,46.8333,126.5,-19.22,92,98,3.44,CN,1676470502
259,sampit,-2.5333,112.95,23.44,96,96,0.9,ID,1676470503
260,goderich,43.7501,-81.7165,11.18,66,100,11.83,CA,1676470504
261,bethel,41.3712,-73.414,8.83,70,0,2.57,US,1676470506
262,carnarvon,-24.8667,113.6333,23.79,65,0,8.67,AU,1676470507
263,natal,-5.795,-35.2094,31.36,70,40,8.23,BR,1676470120
264,hofn,64.2539,-15.2082,1.01,86,75,1.54,IS,1676470509
265,tvoroyri,61.5556,-6.8111,5.67,78,100,7.0,FO,1676470510
266,ancud,-41.8697,-73.8203,14.59,73,41,2.88,CL,1676470511
267,tonantins,-2.8731,-67.8022,25.67,92,100,1.38,BR,1676470512
268,turkistan,43.0,68.0,2.62,59,100,4.07,KZ,1676470328
269,clarksburg,39.2807,-80.3445,17.39,51,41,6.51,US,1676470260
